"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2024,Республика Дагестан,12515,229,6197,4142,709,1017,221
2024,Республика Ингушетия,2609,41,1399,801,204,151,14
2024,Республика Калмыкия,2570,70,1694,407,137,188,74
2024,Республика Карелия,4419,229,1692,800,460,1008,231
2024,Республика Коми,7543,700,3200,1334,700,1361,248
2024,Республика Крым,16462,1399,7869,2853,1421,2438,482
2024,Республика Марий Эл,6054,506,3187,1218,337,658,148
2024,Республика Мордовия,8828,293,5314,1847,467,755,152
2024,Республика Саха (Якутия),11655,278,4992,3380,1309,1372,324
2024,Республика Северная Осетия - Алания,4385,186,2213,1130,274,431,152
2024,Республика Татарстан (Татарстан),76701,8176,37907,12614,4914,10569,2536
2024,Республика Тыва,5308,109,2044,1524,779,687,165
2024,Республика Хакасия,3462,173,1447,731,380,584,147
2024,Ростовская область,90228,6002,42110,18198,6636,14090,3201
2024,Рязанская область,13933,2079,6013,2972,892,1592,385
2024,Самарская область,41328,3312,23301,6109,2166,3907,2538
2024,Санкт-Петербург,53737,1732,16125,16972,7341,9855,1716
2024,Саратовская область,27770,2329,10782,6573,2453,4487,1151
2024,Сахалинская область,3920,256,1688,621,468,713,174
2024,Свердловская область,47690,2734,20314,10120,4421,8259,1844
2024,Севастополь,6043,263,1598,2225,527,1022,408
2024,Смоленская область,5731,342,2941,1236,384,683,146
2024,Ставропольский край,22911,705,10264,5196,1920,4018,809
2024,Тамбовская область,10530,638,5340,2048,757,1393,358
2024,Тверская область,7408,360,3904,1552,556,842,194
2024,Томская область,8325,373,3445,2221,761,1166,359
2024,Тульская область,23618,2117,10789,4396,2440,3183,694
2024,Тюменская область,16927,1272,6307,3440,1684,2905,1319
2024,Удмуртская Республика,10945,840,5507,2081,725,1220,573
2024,Ульяновская область,12444,539,5691,3099,830,1668,618
2024,Хабаровский край,10813,946,3997,2064,1184,2155,467
2024,Ханты-Мансийский автономный округ - Югра,18526,1019,7779,3022,1687,3939,1083
2024,Херсонская область,1149,19,349,200,198,316,67
2024,Челябинская область,30984,1504,13760,5749,3028,5503,1445
2024,Чеченская Республика,11910,45,1898,4277,3117,2296,281
2024,Чувашская Республика - Чувашия,10426,781,4870,2064,562,1123,1028
2024,Чукотский автономный округ,588,43,257,105,76,95,12
2024,Ямало-Ненецкий автономный округ,10957,1101,3670,1143,1530,3156,358
2024,Ярославская область,11951,594,5428,3101,928,1556,344
2023,"",4561,53,1152,1876,887,502,91
2023,Алтайский край,13509,506,5227,4221,1336,1859,361
2023,Амурская область,13417,1158,6141,3294,1111,1437,276
2023,Архангельская область,9101,732,3703,1649,1089,1678,250
2023,Астраханская область,12645,780,6434,2432,1248,1539,213
2023,Белгородская область,23269,1030,10092,5881,2186,3379,705
2023,Брянская область,7819,346,3628,1716,721,1042,366
2023,Владимирская область,8406,417,4222,1850,796,962,160
2023,Волгоградская область,25845,2452,12537,5138,2037,3011,673
2023,Вологодская область,10385,558,3177,2177,1389,2180,905
2023,Воронежская область,14716,638,7256,3208,1438,1842,335
2023,Донецкая Народная Республика,6028,152,1956,2194,830,754,143
